18812345678,SCYD1000000001,1530207538000,1
18812345678,SCYD1000000001,1530211138000,0
18812345678,SCYD1000000001,1530212338000,1
18812345678,SCYD1000000001,1530213538000,0
18812345678,SCYD1000000001,1530258994000,1
18812345678,SCYD1000000001,1530259000000,0
17712341234,SCYD1000000001,1530259000000,1
17712341234,SCYD1000000001,1530259120000,0
15534343434,SCYD1000000001,1530259124000,1
15534343434,SCYD1000000001,1530259524000,0
15732143218,SCYD1000000001,1530259524000,1
15732143218,SCYD1000000001,1530259694000,0
15534343434,SCYD1000000001,1530264625000,1
15534343434,SCYD1000000001,1530265025000,0
